Greek (raw from TSV),Greek (normalized key),English (from TSV)
μου σου του / της / του μας σας τους / τους / τους,μου σου του / της / του μας σας τους / τους / τους,Uploaded
Ο χορός,χορος,Uploaded
Πρώτα (Πρώτα θα πάω στο φούρνο),πρωτα (πρωτα θα παω στο φουρνο),Uploaded
Ο ναός,ναος,Uploaded
Όλος / όλη / όλο (όλη την εβδομάδα),ολος / ολη / ολο (ολη την εβδομαδα),Uploaded
Έχει φεγγάρι,εχει φεγγαρι,Uploaded
Το μοναστήρι,μοναστηρι,Uploaded
Η βάρκα,βαρκα,Uploaded
Απλός / απλή / απλό,απλος / απλη / απλο,Uploaded
Η επιστροφή,επιστροφη,Uploaded
Η θέση,θεση,Uploaded
Το(ν) Φεβρουάριο,το(ν) φεβρουαριο,Uploaded
Το(ν) Μάρτιο,το(ν) μαρτιο,Uploaded
Τον Απρίλιο,τον απριλιο,Uploaded
Το(ν) Μάιο,το(ν) μαιο,Uploaded
Τον Ιούλιο,τον ιουλιο,Uploaded
Τον Αύγουστο,τον αυγουστο,Uploaded
Το(ν) Σεπτέμβριο,το(ν) σεπτεμβριο,Uploaded
Τον Οκτώβριο,τον οκτωβριο,Uploaded
Το(ν) Νοέμβριο,το(ν) νοεμβριο,Uploaded
Το(ν) Δεκέμβριο,το(ν) δεκεμβριο,Uploaded
Περασμένος / περασμένη / περασμένο,περασμενος / περασμενη / περασμενο,Uploaded
Θα είμαι,θα ειμαι,Uploaded
Θα κάνω,θα κανω,Uploaded
θα δω θα δεις θα δει θα δούμε θα δείτε θα δουν,θα δω θα δεις θα δει θα δουμε θα δειτε θα δουν,Uploaded
θα φάω θα φας θα φάει θα φάμε θα φάτε θα φάνε,θα φαω θα φας θα φαει θα φαμε θα φατε θα φανε,Uploaded
Θα πάω,θα παω,Uploaded
